Image,brand,model,category,Page,Img Score,repairability_score,source,device_text,Release Order,Date,Summary,Note,Scorecard Version,problem,fixed_flag,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Failure_ID,usage_duration,failure_type,warranty_status,repair_cost,customer_rating,comments,series,Thickness,Dimensions (WxDxH),Weight,Colors,Operating System,Operating System Type,Display Size,Display Resolution,Pixel Density,Display Type,Display Features,Display Touchscreen,Processor,Clock-speed,Chipset,Cache,Graphic Processor,Capacity,RAM Type,RAM Speed,Memory Slots,Memory Layout,SSD Capacity,SSD Type,Battery Cell,Battery Type,Power Supply,Wireless LAN,Wi-Fi Version,Bluetooth,Bluetooth Version,Other Networking Options,HDMI Ports,USB 2.0 slots,SD Card Reader,Ethernet ports,Headphone Jack,Microphone Jack,Web-cam,Video Recording,Audio Solution,Speakers,Sound Technologies,In-built Microphone,Microphone Type,Pointing device,Keyboard,Fingerprint scanner,Face Recognition,Warranty,Sales Package,Refresh Rate,Brightness,Graphics Memory,Expandable Memory,Thunderbolt Port,VGA Port,Backlit Keyboard,HDD Capacity,HDD Speed(RPM),HDD Type,USB 3.0 slots,Secondary cam(Rear-facing),Lockport,Battery Life,USB Type C,Battery Capacity,Aspect Ratio,Number of Cores,SSD Interface,Fast Charging Support,market_status,price,device_text_clean
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-39-230x350.png,YANG TECHNOLOGY SAS,OPPO A72 (CPH2067),Smartphones,4.0,,6.8,repairability-final,YANG TECHNOLOGY SAS OPPO A72 (CPH2067) Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yang technology sas oppo a72 cph2067 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-23-230x350.png,Huawei P40 lite,JNY-LX1,Smartphones,4.0,,5.4,repairability-final,Huawei P40 lite JNY-LX1 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei p40 lite jny lx1 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-12-230x350.png,Huawei P20 lite,ANE-LX1,Smartphones,4.0,,5.8,repairability-final,Huawei P20 lite ANE-LX1 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei p20 lite ane lx1 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-38-230x350.png,YANG TECHNOLOGY SAS,OPPO A72 (CPH2067),Smartphones,4.0,,6.8,repairability-final,YANG TECHNOLOGY SAS OPPO A72 (CPH2067) Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yang technology sas oppo a72 cph2067 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-22-230x350.png,Huawei P30,MAR-LX1A,Smartphones,4.0,,5.8,repairability-final,Huawei P30 MAR-LX1A Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei p30 mar lx1a smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-37-230x350.png,Maxcom,–,Smartphones,4.0,,6.5,repairability-final,Maxcom – Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maxcom smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-36-230x350.png,XIAOMI,XIAOMIREDMINO9PG,Smartphones,4.0,,7.1,repairability-final,XIAOMI XIAOMIREDMINO9PG Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi xiaomiredmino9pg smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-35-230x350.png,OnePlus,ONEPLUS N100,Smartphones,4.0,,7.0,repairability-final,OnePlus ONEPLUS N100 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oneplus oneplus n100 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-34-230x350.png,XIAOMI,POCO F2 (128 Go),Smartphones,4.0,,7.0,repairability-final,XIAOMI POCO F2 (128 Go) Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi poco f2 128 go smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-32-230x350.png,MOTOROLA,Moto G100,Smartphones,5.0,,7.4,repairability-final,MOTOROLA Moto G100 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,motorola moto g100 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/8-a-10-18-230x350.png,SAMSUNG,SM-G780F,Smartphones,5.0,,8.1,repairability-final,SAMSUNG SM-G780F Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samsung sm g780f smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-31-230x350.png,XIAOMI,XIA6941059634621,Smartphones,5.0,,7.1,repairability-final,XIAOMI XIA6941059634621 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi xia6941059634621 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-30-230x350.png,XIAOMI,Redmi Note 10S,Smartphones,5.0,,7.2,repairability-final,XIAOMI Redmi Note 10S Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi redmi note 10s smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/8-a-10-14-230x350.png,Samsung,SM-G780F,Smartphones,5.0,,8.1,repairability-final,Samsung SM-G780F Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samsung sm g780f smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-29-230x350.png,XIAOMI,XIAOMIREDMINO9PB,Smartphones,5.0,,7.1,repairability-final,XIAOMI XIAOMIREDMINO9PB Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xiaomi xiaomiredmino9pb smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-21-230x350.png,APPLE,A2221,Smartphones,5.0,,4.6,repairability-final,APPLE A2221 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apple a2221 smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-19-230x350.png,Huawei P40 lite,HUAWEIP40LITJMI,Smartphones,5.0,,5.4,repairability-final,Huawei P40 lite HUAWEIP40LITJMI Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei p40 lite huaweip40litjmi smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-13-3-230x350.png,Huawei,HUAPSMARTGREEN,Smartphones,5.0,,5.2,repairability-final,Huawei HUAPSMARTGREEN Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huawei huapsmartgreen smartphones
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-17-230x350.png,APPLE,A2221,Smartphones,5.0,,4.6,repairability-final,APPLE A2221 Smartphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apple a2221 smartphones
