issue,predicted_label
My tablet was hit during a vehicle accident and the battery started overheating.,Battery degradation
The screen freezes after a drop.,Software issue
My laptop was left inside a hot car and charging no longer works.,Water/Liquid damage
The screen flickers during video playback.,Cracked screen
The screen cracked randomly throughout the day.,Cracked screen
My smartwatch loses charge overnight during video calls.,Battery degradation
My tablet Bluetooth stops working during normal operation.,Software issue
The charging port on my smartwatch shows signs of failure.,Hardware issue
My phone software update failed after rebooting.,Software issue
The screen goes black during video playback.,Cracked screen
My laptop drops from full charge within hours during online meetings.,Battery degradation
My tablet powers off suddenly during normal use.,Unknown
My tablet operating system fails to boot while charging.,Software issue
The fingerprint sensor on my laptop stopped working.,Hardware issue
My phone discharges while idle while watching videos.,Battery degradation
My tablet screen freezes after updating.,Software issue
The screen cracked during video playback.,Cracked screen
My phone software update failed after rebooting.,Software issue
My tablet device enters a boot loop after installing new software.,Software issue
My tablet dies unexpectedly during standby.,Battery degradation
My tablet was dropped down stairs and no longer turns on.,Water/Liquid damage
My smartwatch was exposed to beach sand and the screen shattered.,Software issue
My tablet had coffee spilled on it and random shutdowns started occurring.,Water/Liquid damage
The speaker on my laptop produces unusual behavior.,Hardware issue
The keyboard on my smartwatch fails randomly.,Hardware issue
The screen goes black after an update.,Cracked screen
My phone fell from a table and the screen shattered.,Cracked screen
My phone drops from full charge within hours during normal use.,Battery degradation
The power button on my smartwatch became unresponsive.,Hardware issue
My phone WiFi disconnects frequently when connected to the internet.,Software issue
The camera on my tablet stopped working.,Hardware issue
The fingerprint sensor on my tablet is physically damaged.,Hardware issue
My tablet software update failed after updating.,Software issue
The brightness changes automatically randomly throughout the day.,Unknown
My laptop system freezes randomly after updating.,Software issue
My laptop takes too long to charge while charging.,Battery degradation
The trackpad on my phone is physically damaged.,Hardware issue
The ghost touches occur during video playback.,Software issue
My phone fell from a table and the battery started overheating.,Battery degradation
My laptop was dropped on concrete and charging no longer works.,Water/Liquid damage
The screen flickers during normal use.,Cracked screen
The motherboard on my phone fails randomly.,Hardware issue
My smartwatch system freezes randomly after installing new software.,Software issue
My tablet powers off suddenly when connected to WiFi.,Unknown
The power button on my tablet is not detected.,Hardware issue
My phone discharges while idle during online meetings.,Battery degradation
My phone WiFi disconnects frequently after installing new software.,Software issue
The camera on my smartwatch disconnects frequently.,Hardware issue
My smartwatch WiFi disconnects frequently after updating.,Software issue
The brightness changes automatically after a drop.,Unknown
The screen freezes during normal use.,Software issue
The brightness changes automatically during gaming.,Unknown
My phone apps keep crashing during file transfers.,Unknown
My tablet had coffee spilled on it and the display became damaged.,Cracked screen
My laptop was dropped down stairs and several buttons stopped responding.,Water/Liquid damage
My smartwatch device enters a boot loop while charging.,Software issue
The camera on my phone is physically damaged.,Hardware issue
The screen flickers after an update.,Cracked screen
My tablet drains quickly while gaming.,Battery degradation
My tablet drains quickly when using GPS.,Battery degradation
The screen cracked after replacing the screen.,Cracked screen
My smartwatch system freezes randomly while charging.,Software issue
The screen cracked during normal use.,Cracked screen
My smartwatch dies unexpectedly during standby.,Battery degradation
My smartwatch does not hold a charge during online meetings.,Battery degradation
The dead pixels appeared after replacing the screen.,Cracked screen
The touchscreen is unresponsive during gaming.,Cracked screen
The charging port on my laptop disconnects frequently.,Hardware issue
My smartwatch apps keep crashing when connected to the internet.,Unknown
The touchscreen is unresponsive while charging.,Cracked screen
My phone screen freezes after updating.,Software issue
The ghost touches occur when using social media.,Software issue
My laptop loses battery health rapidly during standby.,Battery degradation
The charging port on my tablet is not detected.,Hardware issue
My laptop drops from full charge within hours during video calls.,Battery degradation
The display shows vertical lines while charging.,Cracked screen
The power button on my laptop is not detected.,Hardware issue
My laptop apps keep crashing after updating.,Unknown
My phone Bluetooth stops working during startup.,Software issue
My laptop was left inside a hot car and random shutdowns started occurring.,Water/Liquid damage
The display shows distorted colors during normal use.,Cracked screen
The display shows distorted colors randomly throughout the day.,Cracked screen
My laptop was exposed to heavy rain and internal components failed.,Software issue
The trackpad on my smartwatch disconnects frequently.,Hardware issue
The microphone on my tablet became unresponsive.,Hardware issue
My laptop device restarts unexpectedly while charging.,Software issue
The ghost touches occur after replacing the screen.,Software issue
My tablet device restarts unexpectedly while charging.,Software issue
My smartwatch powers off suddenly while watching videos.,Software issue
My phone fell from a table and several buttons stopped responding.,Unknown
The motherboard on my tablet is not detected.,Hardware issue
The brightness changes automatically when using social media.,Unknown
My phone was exposed to heavy rain and the speaker became distorted.,Hardware issue
My phone powers off suddenly after a software update.,Software issue
My phone loses charge overnight when connected to WiFi.,Battery degradation
The motherboard on my laptop disconnects frequently.,Hardware issue
My tablet WiFi disconnects frequently after installing new software.,Software issue
My laptop system freezes randomly during normal operation.,Software issue
The trackpad on my smartwatch works intermittently.,Hardware issue
My phone system freezes randomly when connected to the internet.,Software issue
My laptop device enters a boot loop during file transfers.,Software issue
My smartwatch was dropped down stairs and several buttons stopped responding.,Water/Liquid damage
My laptop software update failed after installing new software.,Software issue
My phone takes too long to charge while gaming.,Battery degradation
My phone device enters a boot loop during file transfers.,Software issue
The screen goes black after an update.,Cracked screen
The power button on my phone fails randomly.,Hardware issue
The keyboard on my phone fails randomly.,Hardware issue
My phone was exposed to beach sand and the speaker became distorted.,Hardware issue
The ghost touches occur after replacing the screen.,Software issue
The display shows distorted colors during gaming.,Cracked screen
My tablet drops from full charge within hours during normal use.,Battery degradation
The screen freezes randomly throughout the day.,Software issue
My laptop system freezes randomly after rebooting.,Software issue
My smartwatch was hit during a vehicle accident and no longer turns on.,Unknown
The dead pixels appeared after an update.,Cracked screen
The touchscreen is unresponsive after a drop.,Cracked screen
My phone device restarts unexpectedly after installing new software.,Software issue
My laptop takes too long to charge when connected to WiFi.,Battery degradation
My phone takes too long to charge while gaming.,Battery degradation
The keyboard on my laptop produces unusual behavior.,Hardware issue
My laptop Bluetooth stops working after installing new software.,Software issue
The display shows vertical lines after replacing the screen.,Cracked screen
The screen goes black during gaming.,Cracked screen
The screen goes black when exposed to sunlight.,Software issue
My phone drops from full charge within hours during video calls.,Battery degradation
My phone screen freezes when opening settings.,Software issue
My phone was exposed to heavy rain and the screen shattered.,Software issue
The screen goes black during normal use.,Cracked screen
The dead pixels appeared during gaming.,Cracked screen
The screen flickers during normal use.,Cracked screen
The microphone on my laptop malfunctions during use.,Hardware issue
My laptop WiFi disconnects frequently while using multiple apps.,Software issue
The USB port on my smartwatch malfunctions during use.,Hardware issue
The speaker on my tablet is physically damaged.,Hardware issue
The touchscreen is unresponsive randomly throughout the day.,Cracked screen
The ghost touches occur after a drop.,Software issue
My smartwatch was left inside a hot car and the touchscreen stopped working.,Hardware issue
My tablet was dropped on concrete and the speaker became distorted.,Hardware issue
The fingerprint sensor on my phone shows signs of failure.,Hardware issue
The brightness changes automatically during video playback.,Unknown
The touchscreen is unresponsive after replacing the screen.,Cracked screen
My laptop apps keep crashing when connected to the internet.,Unknown
My tablet was dropped down stairs and several buttons stopped responding.,Water/Liquid damage
My phone takes too long to charge while charging.,Battery degradation
My phone loses battery health rapidly during online meetings.,Battery degradation
The charging port on my tablet is not detected.,Hardware issue
My tablet software update failed while using multiple apps.,Software issue
The screen cracked randomly throughout the day.,Cracked screen
My phone fell from a table and charging no longer works.,Unknown
The display shows distorted colors while charging.,Cracked screen
My smartwatch apps keep crashing when opening settings.,Unknown
My phone was left inside a hot car and the battery started overheating.,Battery degradation
The fingerprint sensor on my tablet fails randomly.,Hardware issue
My tablet operating system fails to boot while using multiple apps.,Software issue
My tablet had coffee spilled on it and the speaker became distorted.,Hardware issue
My tablet software update failed during startup.,Software issue
My phone had coffee spilled on it and the battery started overheating.,Battery degradation
My laptop settings reset automatically when opening settings.,Software issue
My smartwatch was exposed to heavy rain and the screen shattered.,Software issue
My smartwatch was exposed to beach sand and the display became damaged.,Software issue
My laptop apps keep crashing during file transfers.,Unknown
My laptop was dropped down stairs and the battery started overheating.,Battery degradation
My laptop fell into water and the speaker became distorted.,Hardware issue
My laptop takes too long to charge during normal use.,Battery degradation
My tablet was left inside a hot car and several buttons stopped responding.,Water/Liquid damage
The display shows vertical lines during normal use.,Cracked screen
My smartwatch was exposed to beach sand and the screen shattered.,Software issue
The camera on my tablet is not detected.,Hardware issue
The display shows vertical lines after an update.,Cracked screen
The speaker on my smartwatch is physically damaged.,Hardware issue
The motherboard on my tablet is not detected.,Hardware issue
My smartwatch had coffee spilled on it and internal components failed.,Water/Liquid damage
The power button on my tablet malfunctions during use.,Hardware issue
My laptop drains quickly when using GPS.,Battery degradation
My laptop discharges while idle after a software update.,Battery degradation
The screen goes black during video playback.,Cracked screen
My smartwatch device enters a boot loop after installing new software.,Software issue
My phone operating system fails to boot during file transfers.,Software issue
The motherboard on my tablet stopped working.,Hardware issue
My smartwatch fell from a table and charging no longer works.,Unknown
My phone apps keep crashing during normal operation.,Unknown
The display shows vertical lines during normal use.,Cracked screen
The display shows distorted colors after an update.,Cracked screen
My laptop dies unexpectedly during standby.,Battery degradation
The trackpad on my phone produces unusual behavior.,Hardware issue
The trackpad on my smartwatch fails randomly.,Hardware issue
My phone apps keep crashing when opening settings.,Unknown
My smartwatch loses battery health rapidly while watching videos.,Battery degradation
The charging port on my smartwatch is not detected.,Hardware issue
The display shows distorted colors during normal use.,Cracked screen
My tablet system freezes randomly during file transfers.,Software issue
My tablet operating system fails to boot during normal operation.,Software issue
My smartwatch was dropped down stairs and several buttons stopped responding.,Water/Liquid damage
My smartwatch had coffee spilled on it and random shutdowns started occurring.,Water/Liquid damage
The screen freezes during gaming.,Software issue
My smartwatch screen freezes after updating.,Software issue
The camera on my laptop is not detected.,Hardware issue
My phone does not hold a charge when connected to WiFi.,Battery degradation
My laptop was dropped on concrete and internal components failed.,Water/Liquid damage
My smartwatch Bluetooth stops working during startup.,Software issue
My smartwatch gets hot while charging during standby.,Battery degradation
My smartwatch was crushed inside a bag and several buttons stopped responding.,Water/Liquid damage
The charging port on my laptop produces unusual behavior.,Hardware issue
The display shows vertical lines when using social media.,Cracked screen
The touchscreen is unresponsive during video playback.,Cracked screen
My phone was hit during a vehicle accident and several buttons stopped responding.,Unknown
The screen goes black after an update.,Cracked screen
My tablet takes too long to charge while watching videos.,Battery degradation
My phone device restarts unexpectedly during startup.,Software issue
My laptop Bluetooth stops working while using multiple apps.,Software issue
My tablet was exposed to heavy rain and the touchscreen stopped working.,Hardware issue
The trackpad on my smartwatch malfunctions during use.,Hardware issue
The brightness changes automatically after replacing the screen.,Cracked screen
My phone had coffee spilled on it and the screen shattered.,Cracked screen
My laptop was dropped down stairs and the screen shattered.,Cracked screen
My tablet was hit during a vehicle accident and charging no longer works.,Unknown
The display shows vertical lines after replacing the screen.,Cracked screen
My tablet was crushed inside a bag and the screen shattered.,Cracked screen
My tablet device enters a boot loop during startup.,Software issue
The screen flickers randomly throughout the day.,Cracked screen
The ghost touches occur during gaming.,Software issue
The screen flickers during gaming.,Cracked screen
My phone device restarts unexpectedly after installing new software.,Software issue
The brightness changes automatically when using social media.,Unknown
My laptop was exposed to beach sand and several buttons stopped responding.,Software issue
My laptop powers off suddenly during online meetings.,Unknown
My phone loses charge overnight during online meetings.,Battery degradation
The charging port on my tablet works intermittently.,Hardware issue
The microphone on my laptop disconnects frequently.,Hardware issue
My tablet was exposed to beach sand and the touchscreen stopped working.,Hardware issue
The screen goes black during gaming.,Cracked screen
The trackpad on my tablet fails randomly.,Hardware issue
My laptop does not hold a charge while watching videos.,Battery degradation
My phone screen freezes when connected to the internet.,Software issue
The motherboard on my smartwatch shows signs of failure.,Hardware issue
The ghost touches occur while charging.,Software issue
The microphone on my tablet disconnects frequently.,Hardware issue
The display shows vertical lines after an update.,Cracked screen
My phone device enters a boot loop while using multiple apps.,Software issue
My tablet apps keep crashing after installing new software.,Software issue
The microphone on my phone disconnects frequently.,Hardware issue
My phone loses battery health rapidly while gaming.,Battery degradation
My smartwatch gets hot while charging during video calls.,Battery degradation
The touchscreen is unresponsive during video playback.,Cracked screen
My smartwatch gets hot while charging during video calls.,Battery degradation
My laptop Bluetooth stops working while charging.,Software issue
My laptop was dropped down stairs and the touchscreen stopped working.,Hardware issue
My laptop loses charge overnight while charging.,Battery degradation
The screen cracked after an update.,Cracked screen
My laptop fell into water and no longer turns on.,Water/Liquid damage
The brightness changes automatically randomly throughout the day.,Unknown
The power button on my smartwatch stopped working.,Hardware issue
My tablet fell from a table and no longer turns on.,Unknown
The display shows distorted colors when using social media.,Cracked screen
My phone was dropped on concrete and the speaker became distorted.,Hardware issue
The fingerprint sensor on my tablet fails randomly.,Hardware issue
The screen cracked during gaming.,Cracked screen
The display shows vertical lines during normal use.,Cracked screen
The trackpad on my smartwatch shows signs of failure.,Hardware issue
My smartwatch loses charge overnight during normal use.,Battery degradation
My tablet loses charge overnight while gaming.,Battery degradation
The keyboard on my laptop works intermittently.,Hardware issue
My phone fell from a table and the display became damaged.,Cracked screen
The USB port on my tablet stopped working.,Hardware issue
My tablet was dropped on concrete and the battery started overheating.,Battery degradation
The screen cracked when using social media.,Cracked screen
My laptop takes too long to charge during online meetings.,Battery degradation
The camera on my smartwatch fails randomly.,Hardware issue
The speaker on my tablet became unresponsive.,Hardware issue
The display shows distorted colors after an update.,Cracked screen
My laptop Bluetooth stops working after installing new software.,Software issue
My laptop settings reset automatically after updating.,Software issue
My phone device restarts unexpectedly while charging.,Software issue
The USB port on my smartwatch malfunctions during use.,Hardware issue
My laptop discharges while idle while charging.,Battery degradation
The screen goes black randomly throughout the day.,Cracked screen
The screen freezes during normal use.,Software issue
My laptop device restarts unexpectedly during file transfers.,Software issue
My tablet apps keep crashing after rebooting.,Unknown
The USB port on my smartwatch shows signs of failure.,Hardware issue
The display shows vertical lines when using social media.,Cracked screen
My smartwatch was hit during a vehicle accident and the display became damaged.,Cracked screen
The fingerprint sensor on my tablet shows signs of failure.,Hardware issue
The keyboard on my tablet produces unusual behavior.,Hardware issue
The camera on my tablet became unresponsive.,Hardware issue
The fingerprint sensor on my phone works intermittently.,Hardware issue
My laptop screen freezes during normal operation.,Software issue
The screen freezes randomly throughout the day.,Software issue
My phone had coffee spilled on it and internal components failed.,Water/Liquid damage
The motherboard on my smartwatch disconnects frequently.,Hardware issue
My phone was exposed to heavy rain and the display became damaged.,Software issue
The camera on my smartwatch malfunctions during use.,Hardware issue
The screen flickers when exposed to sunlight.,Software issue
The screen cracked during gaming.,Cracked screen
My phone fell from a table and charging no longer works.,Unknown
The power button on my tablet is physically damaged.,Hardware issue
My laptop fell into water and random shutdowns started occurring.,Water/Liquid damage
The motherboard on my phone disconnects frequently.,Hardware issue
My tablet screen freezes after rebooting.,Software issue
The screen cracked when exposed to sunlight.,Software issue
My smartwatch apps keep crashing while using multiple apps.,Unknown
My laptop device enters a boot loop during file transfers.,Software issue
My tablet was dropped on concrete and internal components failed.,Water/Liquid damage
My tablet drops from full charge within hours during online meetings.,Battery degradation
My smartwatch was dropped on concrete and the screen shattered.,Cracked screen
My phone Bluetooth stops working during file transfers.,Software issue
My smartwatch takes too long to charge during standby.,Battery degradation
My smartwatch was dropped on concrete and the battery started overheating.,Battery degradation
My phone WiFi disconnects frequently after installing new software.,Software issue
The touchscreen is unresponsive when exposed to sunlight.,Software issue
The speaker on my smartwatch stopped working.,Hardware issue
My phone was exposed to heavy rain and internal components failed.,Software issue
The ghost touches occur while charging.,Software issue
The screen goes black after a drop.,Cracked screen
My tablet fell from a table and the screen shattered.,Cracked screen
My tablet system freezes randomly after updating.,Software issue
The screen flickers after a drop.,Cracked screen
The trackpad on my tablet is not detected.,Hardware issue
The keyboard on my smartwatch fails randomly.,Hardware issue
The camera on my laptop produces unusual behavior.,Hardware issue
My laptop was crushed inside a bag and the touchscreen stopped working.,Hardware issue
The fingerprint sensor on my smartwatch became unresponsive.,Hardware issue
My smartwatch fell from a table and several buttons stopped responding.,Unknown
The charging port on my phone shows signs of failure.,Hardware issue
The microphone on my smartwatch shows signs of failure.,Hardware issue
My smartwatch loses battery health rapidly after a software update.,Battery degradation
My smartwatch powers off suddenly during standby.,Unknown
My laptop does not hold a charge when using GPS.,Battery degradation
The trackpad on my tablet produces unusual behavior.,Hardware issue
My smartwatch apps keep crashing when connected to the internet.,Unknown
The microphone on my laptop is physically damaged.,Hardware issue
My smartwatch had coffee spilled on it and charging no longer works.,Water/Liquid damage
My phone powers off suddenly during standby.,Unknown
My laptop takes too long to charge when connected to WiFi.,Battery degradation
The screen cracked when exposed to sunlight.,Software issue
My smartwatch software update failed after installing new software.,Software issue
The display shows vertical lines after a drop.,Cracked screen
My smartwatch was hit during a vehicle accident and several buttons stopped responding.,Unknown
My smartwatch apps keep crashing after installing new software.,Software issue
The ghost touches occur when using social media.,Software issue
My tablet does not hold a charge during video calls.,Battery degradation
My laptop device restarts unexpectedly when opening settings.,Software issue
My tablet operating system fails to boot while charging.,Software issue
The charging port on my tablet works intermittently.,Hardware issue
My tablet had coffee spilled on it and random shutdowns started occurring.,Water/Liquid damage
My phone was dropped down stairs and no longer turns on.,Water/Liquid damage
The dead pixels appeared during gaming.,Cracked screen
My smartwatch loses battery health rapidly while charging.,Battery degradation
The microphone on my tablet became unresponsive.,Hardware issue
My smartwatch loses charge overnight during standby.,Battery degradation
My laptop was dropped on concrete and the screen shattered.,Cracked screen
The trackpad on my phone became unresponsive.,Hardware issue
My tablet fell into water and the touchscreen stopped working.,Hardware issue
My smartwatch loses charge overnight when using GPS.,Battery degradation
The display shows vertical lines after replacing the screen.,Cracked screen
My phone does not hold a charge after a software update.,Battery degradation
My phone was exposed to beach sand and the speaker became distorted.,Hardware issue
My laptop was dropped on concrete and the battery started overheating.,Battery degradation
The motherboard on my tablet is physically damaged.,Hardware issue
My tablet apps keep crashing during file transfers.,Unknown
The screen cracked during video playback.,Cracked screen
The screen cracked while charging.,Cracked screen
My laptop dies unexpectedly during normal use.,Battery degradation
The screen cracked during normal use.,Cracked screen
My smartwatch does not hold a charge after a software update.,Battery degradation
The microphone on my laptop disconnects frequently.,Hardware issue
My phone powers off suddenly during video calls.,Unknown
My phone drops from full charge within hours when connected to WiFi.,Battery degradation
My laptop was crushed inside a bag and the display became damaged.,Cracked screen
The brightness changes automatically after replacing the screen.,Cracked screen
The screen goes black after an update.,Cracked screen
The speaker on my laptop fails randomly.,Hardware issue
The screen goes black after replacing the screen.,Cracked screen
My phone loses charge overnight during standby.,Battery degradation
My smartwatch loses battery health rapidly during normal use.,Battery degradation
My tablet was crushed inside a bag and random shutdowns started occurring.,Water/Liquid damage
The power button on my tablet became unresponsive.,Hardware issue
The display shows vertical lines when exposed to sunlight.,Software issue
The charging port on my phone became unresponsive.,Hardware issue
My laptop loses charge overnight while charging.,Battery degradation
The camera on my laptop is physically damaged.,Hardware issue
The dead pixels appeared during video playback.,Cracked screen
My laptop dies unexpectedly while gaming.,Battery degradation
My smartwatch was crushed inside a bag and the battery started overheating.,Battery degradation
My smartwatch was exposed to heavy rain and no longer turns on.,Software issue
The ghost touches occur when exposed to sunlight.,Software issue
My phone fell into water and several buttons stopped responding.,Water/Liquid damage
My laptop was dropped down stairs and the touchscreen stopped working.,Hardware issue
My laptop discharges while idle after a software update.,Battery degradation
My laptop was exposed to heavy rain and random shutdowns started occurring.,Software issue
My phone discharges while idle when connected to WiFi.,Battery degradation
The display shows vertical lines during video playback.,Cracked screen
My smartwatch screen freezes during normal operation.,Software issue
My laptop software update failed during normal operation.,Software issue
My smartwatch was left inside a hot car and charging no longer works.,Water/Liquid damage
The camera on my smartwatch malfunctions during use.,Hardware issue
My tablet device restarts unexpectedly after updating.,Software issue
My phone discharges while idle during video calls.,Battery degradation
My laptop powers off suddenly during online meetings.,Unknown
My laptop was dropped on concrete and the display became damaged.,Cracked screen
My phone powers off suddenly during normal use.,Unknown
The camera on my smartwatch shows signs of failure.,Hardware issue
My smartwatch was dropped down stairs and the speaker became distorted.,Hardware issue
The display shows distorted colors during gaming.,Cracked screen
My smartwatch was exposed to beach sand and the touchscreen stopped working.,Hardware issue
My laptop powers off suddenly after a software update.,Software issue
My laptop Bluetooth stops working while using multiple apps.,Software issue
My smartwatch dies unexpectedly during normal use.,Battery degradation
The fingerprint sensor on my smartwatch malfunctions during use.,Hardware issue
My phone settings reset automatically during startup.,Software issue
My phone was left inside a hot car and no longer turns on.,Water/Liquid damage
The screen goes black randomly throughout the day.,Cracked screen
My laptop fell from a table and the battery started overheating.,Battery degradation
My tablet device restarts unexpectedly after installing new software.,Software issue
The screen goes black while charging.,Cracked screen
My phone WiFi disconnects frequently during file transfers.,Software issue
My laptop discharges while idle while charging.,Battery degradation
My phone operating system fails to boot while charging.,Software issue
My phone WiFi disconnects frequently during normal operation.,Software issue
My smartwatch discharges while idle after a software update.,Battery degradation
The charging port on my smartwatch malfunctions during use.,Hardware issue
My smartwatch dies unexpectedly when connected to WiFi.,Battery degradation
My tablet was crushed inside a bag and the battery started overheating.,Battery degradation
The screen freezes when using social media.,Software issue
My laptop was exposed to beach sand and internal components failed.,Software issue
My tablet WiFi disconnects frequently after rebooting.,Software issue
My tablet loses battery health rapidly during normal use.,Battery degradation
My smartwatch screen freezes after updating.,Software issue
The charging port on my laptop fails randomly.,Hardware issue
The USB port on my laptop stopped working.,Hardware issue
The speaker on my phone produces unusual behavior.,Hardware issue
My phone was crushed inside a bag and internal components failed.,Water/Liquid damage
The screen flickers while charging.,Cracked screen
The power button on my tablet is not detected.,Hardware issue
My laptop gets hot while charging when connected to WiFi.,Battery degradation
My smartwatch loses charge overnight after a software update.,Battery degradation
