text,text_clean,issue_label,source
My laptop loses battery health rapidly during video calls.,my laptop loses battery health rapidly during video calls,Battery degradation,device_issue_dataset
My phone fell into water and the battery started overheating.,my phone fell into water and the battery started overheating,Water/Liquid damage,device_issue_dataset
My smartwatch does not hold a charge while charging.,my smartwatch does not hold a charge while charging,Battery degradation,device_issue_dataset
The fingerprint sensor on my smartwatch is not detected.,the fingerprint sensor on my smartwatch is not detected,Hardware issue,device_issue_dataset
My smartwatch system freezes randomly when opening settings.,my smartwatch system freezes randomly when opening settings,Software issue,device_issue_dataset
My phone apps keep crashing when opening settings.,my phone apps keep crashing when opening settings,Software issue,device_issue_dataset
The display shows distorted colors when using social media.,the display shows distorted colors when using social media,Cracked screen,device_issue_dataset
My tablet was left inside a hot car and charging no longer works.,my tablet was left inside a hot car and charging no longer works,Water/Liquid damage,device_issue_dataset
The USB port on my phone fails randomly.,the usb port on my phone fails randomly,Hardware issue,device_issue_dataset
My laptop was crushed inside a bag and random shutdowns started occurring.,my laptop was crushed inside a bag and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
The keyboard on my laptop malfunctions during use.,the keyboard on my laptop malfunctions during use,Hardware issue,device_issue_dataset
The charging port on my tablet shows signs of failure.,the charging port on my tablet shows signs of failure,Hardware issue,device_issue_dataset
My smartwatch loses charge overnight while watching videos.,my smartwatch loses charge overnight while watching videos,Battery degradation,device_issue_dataset
My tablet apps keep crashing when opening settings.,my tablet apps keep crashing when opening settings,Software issue,device_issue_dataset
My smartwatch drains quickly during normal use.,my smartwatch drains quickly during normal use,Battery degradation,device_issue_dataset
My tablet takes too long to charge while charging.,my tablet takes too long to charge while charging,Battery degradation,device_issue_dataset
The screen flickers during normal use.,the screen flickers during normal use,Cracked screen,device_issue_dataset
My smartwatch dies unexpectedly during video calls.,my smartwatch dies unexpectedly during video calls,Battery degradation,device_issue_dataset
The screen flickers when exposed to sunlight.,the screen flickers when exposed to sunlight,Cracked screen,device_issue_dataset
The brightness changes automatically during gaming.,the brightness changes automatically during gaming,Cracked screen,device_issue_dataset
The charging port on my tablet shows signs of failure.,the charging port on my tablet shows signs of failure,Hardware issue,device_issue_dataset
My laptop device enters a boot loop during normal operation.,my laptop device enters a boot loop during normal operation,Software issue,device_issue_dataset
The fingerprint sensor on my smartwatch shows signs of failure.,the fingerprint sensor on my smartwatch shows signs of failure,Hardware issue,device_issue_dataset
My smartwatch does not hold a charge while gaming.,my smartwatch does not hold a charge while gaming,Battery degradation,device_issue_dataset
My laptop does not hold a charge during standby.,my laptop does not hold a charge during standby,Battery degradation,device_issue_dataset
My laptop drains quickly while gaming.,my laptop drains quickly while gaming,Battery degradation,device_issue_dataset
My tablet dies unexpectedly while watching videos.,my tablet dies unexpectedly while watching videos,Battery degradation,device_issue_dataset
The touchscreen is unresponsive during normal use.,the touchscreen is unresponsive during normal use,Cracked screen,device_issue_dataset
My smartwatch system freezes randomly during startup.,my smartwatch system freezes randomly during startup,Software issue,device_issue_dataset
My smartwatch WiFi disconnects frequently during normal operation.,my smartwatch wifi disconnects frequently during normal operation,Software issue,device_issue_dataset
My smartwatch gets hot while charging while gaming.,my smartwatch gets hot while charging while gaming,Battery degradation,device_issue_dataset
The trackpad on my smartwatch shows signs of failure.,the trackpad on my smartwatch shows signs of failure,Hardware issue,device_issue_dataset
My tablet powers off suddenly during normal use.,my tablet powers off suddenly during normal use,Battery degradation,device_issue_dataset
My tablet had coffee spilled on it and the touchscreen stopped working.,my tablet had coffee spilled on it and the touchscreen stopped working,Water/Liquid damage,device_issue_dataset
The USB port on my smartwatch fails randomly.,the usb port on my smartwatch fails randomly,Hardware issue,device_issue_dataset
My laptop was dropped on concrete and the battery started overheating.,my laptop was dropped on concrete and the battery started overheating,Water/Liquid damage,device_issue_dataset
My phone was dropped on concrete and the speaker became distorted.,my phone was dropped on concrete and the speaker became distorted,Water/Liquid damage,device_issue_dataset
The ghost touches occur when exposed to sunlight.,the ghost touches occur when exposed to sunlight,Cracked screen,device_issue_dataset
My tablet device enters a boot loop during startup.,my tablet device enters a boot loop during startup,Software issue,device_issue_dataset
My laptop Bluetooth stops working after updating.,my laptop bluetooth stops working after updating,Software issue,device_issue_dataset
The display shows distorted colors randomly throughout the day.,the display shows distorted colors randomly throughout the day,Cracked screen,device_issue_dataset
The screen flickers when using social media.,the screen flickers when using social media,Cracked screen,device_issue_dataset
My phone had coffee spilled on it and the battery started overheating.,my phone had coffee spilled on it and the battery started overheating,Water/Liquid damage,device_issue_dataset
My tablet Bluetooth stops working during startup.,my tablet bluetooth stops working during startup,Software issue,device_issue_dataset
My smartwatch does not hold a charge when connected to WiFi.,my smartwatch does not hold a charge when connected to wifi,Battery degradation,device_issue_dataset
The speaker on my laptop works intermittently.,the speaker on my laptop works intermittently,Hardware issue,device_issue_dataset
The power button on my smartwatch is not detected.,the power button on my smartwatch is not detected,Hardware issue,device_issue_dataset
The motherboard on my laptop produces unusual behavior.,the motherboard on my laptop produces unusual behavior,Hardware issue,device_issue_dataset
The camera on my laptop is physically damaged.,the camera on my laptop is physically damaged,Hardware issue,device_issue_dataset
My tablet loses battery health rapidly while charging.,my tablet loses battery health rapidly while charging,Battery degradation,device_issue_dataset
The fingerprint sensor on my tablet malfunctions during use.,the fingerprint sensor on my tablet malfunctions during use,Hardware issue,device_issue_dataset
The screen flickers randomly throughout the day.,the screen flickers randomly throughout the day,Cracked screen,device_issue_dataset
My laptop powers off suddenly while charging.,my laptop powers off suddenly while charging,Battery degradation,device_issue_dataset
The trackpad on my smartwatch shows signs of failure.,the trackpad on my smartwatch shows signs of failure,Hardware issue,device_issue_dataset
My phone does not hold a charge while watching videos.,my phone does not hold a charge while watching videos,Battery degradation,device_issue_dataset
The camera on my tablet works intermittently.,the camera on my tablet works intermittently,Hardware issue,device_issue_dataset
My phone system freezes randomly during normal operation.,my phone system freezes randomly during normal operation,Software issue,device_issue_dataset
My laptop had coffee spilled on it and the display became damaged.,my laptop had coffee spilled on it and the display became damaged,Water/Liquid damage,device_issue_dataset
The display shows vertical lines during gaming.,the display shows vertical lines during gaming,Cracked screen,device_issue_dataset
My tablet software update failed during normal operation.,my tablet software update failed during normal operation,Software issue,device_issue_dataset
The keyboard on my smartwatch became unresponsive.,the keyboard on my smartwatch became unresponsive,Hardware issue,device_issue_dataset
My laptop was hit during a vehicle accident and no longer turns on.,my laptop was hit during a vehicle accident and no longer turns on,Water/Liquid damage,device_issue_dataset
My laptop drops from full charge within hours during video calls.,my laptop drops from full charge within hours during video calls,Battery degradation,device_issue_dataset
My laptop was dropped on concrete and the speaker became distorted.,my laptop was dropped on concrete and the speaker became distorted,Water/Liquid damage,device_issue_dataset
The screen flickers when using social media.,the screen flickers when using social media,Cracked screen,device_issue_dataset
My laptop had coffee spilled on it and random shutdowns started occurring.,my laptop had coffee spilled on it and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
My phone was exposed to beach sand and the battery started overheating.,my phone was exposed to beach sand and the battery started overheating,Water/Liquid damage,device_issue_dataset
The screen freezes after a drop.,the screen freezes after a drop,Cracked screen,device_issue_dataset
The touchscreen is unresponsive after an update.,the touchscreen is unresponsive after an update,Cracked screen,device_issue_dataset
My laptop loses battery health rapidly during online meetings.,my laptop loses battery health rapidly during online meetings,Battery degradation,device_issue_dataset
The camera on my smartwatch is physically damaged.,the camera on my smartwatch is physically damaged,Hardware issue,device_issue_dataset
My laptop was dropped on concrete and several buttons stopped responding.,my laptop was dropped on concrete and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My phone powers off suddenly during standby.,my phone powers off suddenly during standby,Battery degradation,device_issue_dataset
The screen cracked when exposed to sunlight.,the screen cracked when exposed to sunlight,Cracked screen,device_issue_dataset
My smartwatch drains quickly after a software update.,my smartwatch drains quickly after a software update,Battery degradation,device_issue_dataset
My phone was dropped down stairs and the touchscreen stopped working.,my phone was dropped down stairs and the touchscreen stopped working,Water/Liquid damage,device_issue_dataset
The motherboard on my phone fails randomly.,the motherboard on my phone fails randomly,Hardware issue,device_issue_dataset
My laptop Bluetooth stops working while charging.,my laptop bluetooth stops working while charging,Software issue,device_issue_dataset
The camera on my tablet shows signs of failure.,the camera on my tablet shows signs of failure,Hardware issue,device_issue_dataset
My laptop loses battery health rapidly while watching videos.,my laptop loses battery health rapidly while watching videos,Battery degradation,device_issue_dataset
My phone device enters a boot loop after rebooting.,my phone device enters a boot loop after rebooting,Software issue,device_issue_dataset
My laptop Bluetooth stops working during startup.,my laptop bluetooth stops working during startup,Software issue,device_issue_dataset
My laptop was exposed to heavy rain and charging no longer works.,my laptop was exposed to heavy rain and charging no longer works,Water/Liquid damage,device_issue_dataset
My phone screen freezes during startup.,my phone screen freezes during startup,Software issue,device_issue_dataset
My smartwatch was hit during a vehicle accident and the touchscreen stopped working.,my smartwatch was hit during a vehicle accident and the touchscreen stopped working,Water/Liquid damage,device_issue_dataset
My smartwatch screen freezes while using multiple apps.,my smartwatch screen freezes while using multiple apps,Software issue,device_issue_dataset
My laptop was crushed inside a bag and internal components failed.,my laptop was crushed inside a bag and internal components failed,Water/Liquid damage,device_issue_dataset
The charging port on my phone shows signs of failure.,the charging port on my phone shows signs of failure,Hardware issue,device_issue_dataset
My tablet dies unexpectedly during normal use.,my tablet dies unexpectedly during normal use,Battery degradation,device_issue_dataset
My tablet had coffee spilled on it and random shutdowns started occurring.,my tablet had coffee spilled on it and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
My phone drops from full charge within hours when connected to WiFi.,my phone drops from full charge within hours when connected to wifi,Battery degradation,device_issue_dataset
The keyboard on my smartwatch works intermittently.,the keyboard on my smartwatch works intermittently,Hardware issue,device_issue_dataset
My phone was left inside a hot car and the battery started overheating.,my phone was left inside a hot car and the battery started overheating,Water/Liquid damage,device_issue_dataset
My tablet was hit during a vehicle accident and the battery started overheating.,my tablet was hit during a vehicle accident and the battery started overheating,Water/Liquid damage,device_issue_dataset
My phone was left inside a hot car and the display became damaged.,my phone was left inside a hot car and the display became damaged,Water/Liquid damage,device_issue_dataset
My phone loses charge overnight while gaming.,my phone loses charge overnight while gaming,Battery degradation,device_issue_dataset
The camera on my laptop malfunctions during use.,the camera on my laptop malfunctions during use,Hardware issue,device_issue_dataset
My smartwatch was dropped down stairs and several buttons stopped responding.,my smartwatch was dropped down stairs and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
The display shows vertical lines after an update.,the display shows vertical lines after an update,Cracked screen,device_issue_dataset
My tablet software update failed during normal operation.,my tablet software update failed during normal operation,Software issue,device_issue_dataset
My tablet loses charge overnight during standby.,my tablet loses charge overnight during standby,Battery degradation,device_issue_dataset
My tablet was hit during a vehicle accident and the battery started overheating.,my tablet was hit during a vehicle accident and the battery started overheating,Water/Liquid damage,device_issue_dataset
The screen freezes after a drop.,the screen freezes after a drop,Cracked screen,device_issue_dataset
My laptop was left inside a hot car and charging no longer works.,my laptop was left inside a hot car and charging no longer works,Water/Liquid damage,device_issue_dataset
The screen flickers during video playback.,the screen flickers during video playback,Cracked screen,device_issue_dataset
The screen cracked randomly throughout the day.,the screen cracked randomly throughout the day,Cracked screen,device_issue_dataset
My smartwatch loses charge overnight during video calls.,my smartwatch loses charge overnight during video calls,Battery degradation,device_issue_dataset
My tablet Bluetooth stops working during normal operation.,my tablet bluetooth stops working during normal operation,Software issue,device_issue_dataset
The charging port on my smartwatch shows signs of failure.,the charging port on my smartwatch shows signs of failure,Hardware issue,device_issue_dataset
My phone software update failed after rebooting.,my phone software update failed after rebooting,Software issue,device_issue_dataset
The screen goes black during video playback.,the screen goes black during video playback,Cracked screen,device_issue_dataset
My laptop drops from full charge within hours during online meetings.,my laptop drops from full charge within hours during online meetings,Battery degradation,device_issue_dataset
My tablet powers off suddenly during normal use.,my tablet powers off suddenly during normal use,Battery degradation,device_issue_dataset
My tablet operating system fails to boot while charging.,my tablet operating system fails to boot while charging,Software issue,device_issue_dataset
The fingerprint sensor on my laptop stopped working.,the fingerprint sensor on my laptop stopped working,Hardware issue,device_issue_dataset
My phone discharges while idle while watching videos.,my phone discharges while idle while watching videos,Battery degradation,device_issue_dataset
My tablet screen freezes after updating.,my tablet screen freezes after updating,Software issue,device_issue_dataset
The screen cracked during video playback.,the screen cracked during video playback,Cracked screen,device_issue_dataset
My phone software update failed after rebooting.,my phone software update failed after rebooting,Software issue,device_issue_dataset
My tablet device enters a boot loop after installing new software.,my tablet device enters a boot loop after installing new software,Software issue,device_issue_dataset
My tablet dies unexpectedly during standby.,my tablet dies unexpectedly during standby,Battery degradation,device_issue_dataset
My tablet was dropped down stairs and no longer turns on.,my tablet was dropped down stairs and no longer turns on,Water/Liquid damage,device_issue_dataset
My smartwatch was exposed to beach sand and the screen shattered.,my smartwatch was exposed to beach sand and the screen shattered,Water/Liquid damage,device_issue_dataset
My tablet had coffee spilled on it and random shutdowns started occurring.,my tablet had coffee spilled on it and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
The speaker on my laptop produces unusual behavior.,the speaker on my laptop produces unusual behavior,Hardware issue,device_issue_dataset
The keyboard on my smartwatch fails randomly.,the keyboard on my smartwatch fails randomly,Hardware issue,device_issue_dataset
The screen goes black after an update.,the screen goes black after an update,Cracked screen,device_issue_dataset
My phone fell from a table and the screen shattered.,my phone fell from a table and the screen shattered,Water/Liquid damage,device_issue_dataset
My phone drops from full charge within hours during normal use.,my phone drops from full charge within hours during normal use,Battery degradation,device_issue_dataset
The power button on my smartwatch became unresponsive.,the power button on my smartwatch became unresponsive,Hardware issue,device_issue_dataset
My phone WiFi disconnects frequently when connected to the internet.,my phone wifi disconnects frequently when connected to the internet,Software issue,device_issue_dataset
The camera on my tablet stopped working.,the camera on my tablet stopped working,Hardware issue,device_issue_dataset
The fingerprint sensor on my tablet is physically damaged.,the fingerprint sensor on my tablet is physically damaged,Hardware issue,device_issue_dataset
My tablet software update failed after updating.,my tablet software update failed after updating,Software issue,device_issue_dataset
The brightness changes automatically randomly throughout the day.,the brightness changes automatically randomly throughout the day,Cracked screen,device_issue_dataset
My laptop system freezes randomly after updating.,my laptop system freezes randomly after updating,Software issue,device_issue_dataset
My laptop takes too long to charge while charging.,my laptop takes too long to charge while charging,Battery degradation,device_issue_dataset
The trackpad on my phone is physically damaged.,the trackpad on my phone is physically damaged,Hardware issue,device_issue_dataset
The ghost touches occur during video playback.,the ghost touches occur during video playback,Cracked screen,device_issue_dataset
My phone fell from a table and the battery started overheating.,my phone fell from a table and the battery started overheating,Water/Liquid damage,device_issue_dataset
My laptop was dropped on concrete and charging no longer works.,my laptop was dropped on concrete and charging no longer works,Water/Liquid damage,device_issue_dataset
The screen flickers during normal use.,the screen flickers during normal use,Cracked screen,device_issue_dataset
The motherboard on my phone fails randomly.,the motherboard on my phone fails randomly,Hardware issue,device_issue_dataset
My smartwatch system freezes randomly after installing new software.,my smartwatch system freezes randomly after installing new software,Software issue,device_issue_dataset
My tablet powers off suddenly when connected to WiFi.,my tablet powers off suddenly when connected to wifi,Battery degradation,device_issue_dataset
The power button on my tablet is not detected.,the power button on my tablet is not detected,Hardware issue,device_issue_dataset
My phone discharges while idle during online meetings.,my phone discharges while idle during online meetings,Battery degradation,device_issue_dataset
My phone WiFi disconnects frequently after installing new software.,my phone wifi disconnects frequently after installing new software,Software issue,device_issue_dataset
The camera on my smartwatch disconnects frequently.,the camera on my smartwatch disconnects frequently,Hardware issue,device_issue_dataset
My smartwatch WiFi disconnects frequently after updating.,my smartwatch wifi disconnects frequently after updating,Software issue,device_issue_dataset
The brightness changes automatically after a drop.,the brightness changes automatically after a drop,Cracked screen,device_issue_dataset
The screen freezes during normal use.,the screen freezes during normal use,Cracked screen,device_issue_dataset
The brightness changes automatically during gaming.,the brightness changes automatically during gaming,Cracked screen,device_issue_dataset
My phone apps keep crashing during file transfers.,my phone apps keep crashing during file transfers,Software issue,device_issue_dataset
My tablet had coffee spilled on it and the display became damaged.,my tablet had coffee spilled on it and the display became damaged,Water/Liquid damage,device_issue_dataset
My laptop was dropped down stairs and several buttons stopped responding.,my laptop was dropped down stairs and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My smartwatch device enters a boot loop while charging.,my smartwatch device enters a boot loop while charging,Software issue,device_issue_dataset
The camera on my phone is physically damaged.,the camera on my phone is physically damaged,Hardware issue,device_issue_dataset
The screen flickers after an update.,the screen flickers after an update,Cracked screen,device_issue_dataset
My tablet drains quickly while gaming.,my tablet drains quickly while gaming,Battery degradation,device_issue_dataset
My tablet drains quickly when using GPS.,my tablet drains quickly when using gps,Battery degradation,device_issue_dataset
The screen cracked after replacing the screen.,the screen cracked after replacing the screen,Cracked screen,device_issue_dataset
My smartwatch system freezes randomly while charging.,my smartwatch system freezes randomly while charging,Software issue,device_issue_dataset
The screen cracked during normal use.,the screen cracked during normal use,Cracked screen,device_issue_dataset
My smartwatch dies unexpectedly during standby.,my smartwatch dies unexpectedly during standby,Battery degradation,device_issue_dataset
My smartwatch does not hold a charge during online meetings.,my smartwatch does not hold a charge during online meetings,Battery degradation,device_issue_dataset
The dead pixels appeared after replacing the screen.,the dead pixels appeared after replacing the screen,Cracked screen,device_issue_dataset
The touchscreen is unresponsive during gaming.,the touchscreen is unresponsive during gaming,Cracked screen,device_issue_dataset
The charging port on my laptop disconnects frequently.,the charging port on my laptop disconnects frequently,Hardware issue,device_issue_dataset
My smartwatch apps keep crashing when connected to the internet.,my smartwatch apps keep crashing when connected to the internet,Software issue,device_issue_dataset
The touchscreen is unresponsive while charging.,the touchscreen is unresponsive while charging,Cracked screen,device_issue_dataset
My phone screen freezes after updating.,my phone screen freezes after updating,Software issue,device_issue_dataset
The ghost touches occur when using social media.,the ghost touches occur when using social media,Cracked screen,device_issue_dataset
My laptop loses battery health rapidly during standby.,my laptop loses battery health rapidly during standby,Battery degradation,device_issue_dataset
The charging port on my tablet is not detected.,the charging port on my tablet is not detected,Hardware issue,device_issue_dataset
My laptop drops from full charge within hours during video calls.,my laptop drops from full charge within hours during video calls,Battery degradation,device_issue_dataset
The display shows vertical lines while charging.,the display shows vertical lines while charging,Cracked screen,device_issue_dataset
The power button on my laptop is not detected.,the power button on my laptop is not detected,Hardware issue,device_issue_dataset
My laptop apps keep crashing after updating.,my laptop apps keep crashing after updating,Software issue,device_issue_dataset
My phone Bluetooth stops working during startup.,my phone bluetooth stops working during startup,Software issue,device_issue_dataset
My laptop was left inside a hot car and random shutdowns started occurring.,my laptop was left inside a hot car and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
The display shows distorted colors during normal use.,the display shows distorted colors during normal use,Cracked screen,device_issue_dataset
The display shows distorted colors randomly throughout the day.,the display shows distorted colors randomly throughout the day,Cracked screen,device_issue_dataset
My laptop was exposed to heavy rain and internal components failed.,my laptop was exposed to heavy rain and internal components failed,Water/Liquid damage,device_issue_dataset
The trackpad on my smartwatch disconnects frequently.,the trackpad on my smartwatch disconnects frequently,Hardware issue,device_issue_dataset
The microphone on my tablet became unresponsive.,the microphone on my tablet became unresponsive,Hardware issue,device_issue_dataset
My laptop device restarts unexpectedly while charging.,my laptop device restarts unexpectedly while charging,Software issue,device_issue_dataset
The ghost touches occur after replacing the screen.,the ghost touches occur after replacing the screen,Cracked screen,device_issue_dataset
My tablet device restarts unexpectedly while charging.,my tablet device restarts unexpectedly while charging,Software issue,device_issue_dataset
My smartwatch powers off suddenly while watching videos.,my smartwatch powers off suddenly while watching videos,Battery degradation,device_issue_dataset
My phone fell from a table and several buttons stopped responding.,my phone fell from a table and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
The motherboard on my tablet is not detected.,the motherboard on my tablet is not detected,Hardware issue,device_issue_dataset
The brightness changes automatically when using social media.,the brightness changes automatically when using social media,Cracked screen,device_issue_dataset
My phone was exposed to heavy rain and the speaker became distorted.,my phone was exposed to heavy rain and the speaker became distorted,Water/Liquid damage,device_issue_dataset
My phone powers off suddenly after a software update.,my phone powers off suddenly after a software update,Battery degradation,device_issue_dataset
My phone loses charge overnight when connected to WiFi.,my phone loses charge overnight when connected to wifi,Battery degradation,device_issue_dataset
The motherboard on my laptop disconnects frequently.,the motherboard on my laptop disconnects frequently,Hardware issue,device_issue_dataset
My tablet WiFi disconnects frequently after installing new software.,my tablet wifi disconnects frequently after installing new software,Software issue,device_issue_dataset
My laptop system freezes randomly during normal operation.,my laptop system freezes randomly during normal operation,Software issue,device_issue_dataset
The trackpad on my smartwatch works intermittently.,the trackpad on my smartwatch works intermittently,Hardware issue,device_issue_dataset
My phone system freezes randomly when connected to the internet.,my phone system freezes randomly when connected to the internet,Software issue,device_issue_dataset
My laptop device enters a boot loop during file transfers.,my laptop device enters a boot loop during file transfers,Software issue,device_issue_dataset
My smartwatch was dropped down stairs and several buttons stopped responding.,my smartwatch was dropped down stairs and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My laptop software update failed after installing new software.,my laptop software update failed after installing new software,Software issue,device_issue_dataset
My phone takes too long to charge while gaming.,my phone takes too long to charge while gaming,Battery degradation,device_issue_dataset
My phone device enters a boot loop during file transfers.,my phone device enters a boot loop during file transfers,Software issue,device_issue_dataset
The screen goes black after an update.,the screen goes black after an update,Cracked screen,device_issue_dataset
The power button on my phone fails randomly.,the power button on my phone fails randomly,Hardware issue,device_issue_dataset
The keyboard on my phone fails randomly.,the keyboard on my phone fails randomly,Hardware issue,device_issue_dataset
My phone was exposed to beach sand and the speaker became distorted.,my phone was exposed to beach sand and the speaker became distorted,Water/Liquid damage,device_issue_dataset
The ghost touches occur after replacing the screen.,the ghost touches occur after replacing the screen,Cracked screen,device_issue_dataset
The display shows distorted colors during gaming.,the display shows distorted colors during gaming,Cracked screen,device_issue_dataset
My tablet drops from full charge within hours during normal use.,my tablet drops from full charge within hours during normal use,Battery degradation,device_issue_dataset
The screen freezes randomly throughout the day.,the screen freezes randomly throughout the day,Cracked screen,device_issue_dataset
My laptop system freezes randomly after rebooting.,my laptop system freezes randomly after rebooting,Software issue,device_issue_dataset
My smartwatch was hit during a vehicle accident and no longer turns on.,my smartwatch was hit during a vehicle accident and no longer turns on,Water/Liquid damage,device_issue_dataset
The dead pixels appeared after an update.,the dead pixels appeared after an update,Cracked screen,device_issue_dataset
The touchscreen is unresponsive after a drop.,the touchscreen is unresponsive after a drop,Cracked screen,device_issue_dataset
My phone device restarts unexpectedly after installing new software.,my phone device restarts unexpectedly after installing new software,Software issue,device_issue_dataset
My laptop takes too long to charge when connected to WiFi.,my laptop takes too long to charge when connected to wifi,Battery degradation,device_issue_dataset
My phone takes too long to charge while gaming.,my phone takes too long to charge while gaming,Battery degradation,device_issue_dataset
The keyboard on my laptop produces unusual behavior.,the keyboard on my laptop produces unusual behavior,Hardware issue,device_issue_dataset
My laptop Bluetooth stops working after installing new software.,my laptop bluetooth stops working after installing new software,Software issue,device_issue_dataset
The display shows vertical lines after replacing the screen.,the display shows vertical lines after replacing the screen,Cracked screen,device_issue_dataset
The screen goes black during gaming.,the screen goes black during gaming,Cracked screen,device_issue_dataset
The screen goes black when exposed to sunlight.,the screen goes black when exposed to sunlight,Cracked screen,device_issue_dataset
My phone drops from full charge within hours during video calls.,my phone drops from full charge within hours during video calls,Battery degradation,device_issue_dataset
My phone screen freezes when opening settings.,my phone screen freezes when opening settings,Software issue,device_issue_dataset
My phone was exposed to heavy rain and the screen shattered.,my phone was exposed to heavy rain and the screen shattered,Water/Liquid damage,device_issue_dataset
The screen goes black during normal use.,the screen goes black during normal use,Cracked screen,device_issue_dataset
The dead pixels appeared during gaming.,the dead pixels appeared during gaming,Cracked screen,device_issue_dataset
The screen flickers during normal use.,the screen flickers during normal use,Cracked screen,device_issue_dataset
The microphone on my laptop malfunctions during use.,the microphone on my laptop malfunctions during use,Hardware issue,device_issue_dataset
My laptop WiFi disconnects frequently while using multiple apps.,my laptop wifi disconnects frequently while using multiple apps,Software issue,device_issue_dataset
The USB port on my smartwatch malfunctions during use.,the usb port on my smartwatch malfunctions during use,Hardware issue,device_issue_dataset
The speaker on my tablet is physically damaged.,the speaker on my tablet is physically damaged,Hardware issue,device_issue_dataset
The touchscreen is unresponsive randomly throughout the day.,the touchscreen is unresponsive randomly throughout the day,Cracked screen,device_issue_dataset
The ghost touches occur after a drop.,the ghost touches occur after a drop,Cracked screen,device_issue_dataset
My smartwatch was left inside a hot car and the touchscreen stopped working.,my smartwatch was left inside a hot car and the touchscreen stopped working,Water/Liquid damage,device_issue_dataset
My tablet was dropped on concrete and the speaker became distorted.,my tablet was dropped on concrete and the speaker became distorted,Water/Liquid damage,device_issue_dataset
The fingerprint sensor on my phone shows signs of failure.,the fingerprint sensor on my phone shows signs of failure,Hardware issue,device_issue_dataset
The brightness changes automatically during video playback.,the brightness changes automatically during video playback,Cracked screen,device_issue_dataset
The touchscreen is unresponsive after replacing the screen.,the touchscreen is unresponsive after replacing the screen,Cracked screen,device_issue_dataset
My laptop apps keep crashing when connected to the internet.,my laptop apps keep crashing when connected to the internet,Software issue,device_issue_dataset
My tablet was dropped down stairs and several buttons stopped responding.,my tablet was dropped down stairs and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My phone takes too long to charge while charging.,my phone takes too long to charge while charging,Battery degradation,device_issue_dataset
My phone loses battery health rapidly during online meetings.,my phone loses battery health rapidly during online meetings,Battery degradation,device_issue_dataset
